dt,symbol,open,high,low,close,volume,vwap,is_trading_day
2024-04-23,2330.tw,761.0,761.0,752.0,754.0,30423647,755.666667,1
2024-04-24,2330.tw,770.0,785.0,769.0,783.0,39457128,779.0,1
2024-04-25,2330.tw,770.0,774.0,765.0,766.0,28534926,768.333333,1
2024-04-26,2330.tw,788.0,789.0,782.0,782.0,32571247,784.333333,1
2024-04-29,2330.tw,790.0,795.0,787.0,795.0,26765837,792.333333,1
2024-04-30,2330.tw,797.0,802.0,790.0,790.0,39051972,794.0,1
2024-05-02,2330.tw,789.0,789.0,772.0,772.0,40527228,777.666667,1
2024-05-03,2330.tw,788.0,788.0,773.0,780.0,29901556,780.333333,1
2024-05-06,2330.tw,791.0,793.0,786.0,786.0,32599878,788.333333,1
2024-05-07,2330.tw,797.0,800.0,792.0,800.0,33890214,797.333333,1
2024-05-08,2330.tw,794.0,802.0,792.0,802.0,21757193,798.666667,1
2024-05-09,2330.tw,798.0,802.0,796.0,796.0,21923999,798.0,1
2024-05-10,2330.tw,803.0,807.0,798.0,802.0,25101318,802.333333,1
2024-05-13,2330.tw,823.0,825.0,818.0,819.0,34812619,820.666667,1
2024-05-14,2330.tw,816.0,825.0,811.0,825.0,28691846,820.333333,1
2024-05-15,2330.tw,838.0,844.0,837.0,839.0,39467772,840.0,1
2024-05-16,2330.tw,852.0,856.0,837.0,841.0,43927195,844.666667,1
2024-05-17,2330.tw,848.0,848.0,834.0,835.0,26207289,839.0,1
2024-05-20,2330.tw,834.0,838.0,822.0,835.0,28808661,831.666667,1
2024-05-21,2330.tw,830.0,841.0,830.0,841.0,19705349,837.333333,1
2024-05-22,2330.tw,845.0,865.0,843.0,864.0,36628342,857.333333,1
2024-05-23,2330.tw,875.0,877.0,867.0,875.0,37266618,873.0,1
2024-05-24,2330.tw,858.0,872.0,858.0,867.0,34136382,865.666667,1
2024-05-27,2330.tw,872.0,878.0,866.0,869.0,26726954,871.0,1
2024-05-28,2330.tw,867.0,873.0,865.0,865.0,25329216,867.666667,1
2024-05-29,2330.tw,861.0,868.0,856.0,857.0,33436835,860.333333,1
2024-05-30,2330.tw,841.0,848.0,838.0,838.0,38065102,841.333333,1
2024-05-31,2330.tw,838.0,846.0,821.0,821.0,77438401,829.333333,1
2024-06-03,2330.tw,839.0,853.0,837.0,846.0,28345488,845.333333,1
2024-06-04,2330.tw,844.0,851.0,837.0,839.0,28223635,842.333333,1
